Product,Price Each,Cost price,Quantity Ordered,catégorie,CATEGORY_ID,PRODUCT_ID
20in Monitor,109.99,71.4935,1.0068276030236527,Alimentation,2,15
27in 4K Gaming Monitor,389.99,128.69670000000002,1.002247191011236,Vêtements,1,6
27in FHD Monitor,149.99,97.4935,1.0057279872119356,Sports,3,4
34in Ultrawide Monitor,379.99,125.3967,1.0029121501375182,Électronique,4,16
AA Batteries (4-pack),3.84,1.92,1.343004325217476,Alimentation,2,13
AAA Batteries (4-pack),2.99,1.495,1.5026888232159294,Alimentation,2,5
Apple Airpods Headphones,150.0,97.5,1.0072030355649881,Électronique,4,9
Bose SoundSport Headphones,99.99,49.995,1.009906191369606,Électronique,4,8
Flatscreen TV,300.0,99.0,1.0039583333333333,Électronique,4,11
Google Phone,600.0,198.0,1.0012669683257918,Électronique,4,14
LG Dryer,600.0,198.0,1.0,Vêtements,1,18
LG Washing Machine,600.0,198.0,1.0,Électronique,4,19
Lightning Charging Cable,14.95,7.475,1.07198263920953,Alimentation,2,2
Macbook Pro Laptop,1700.0,561.0,1.0008467400508043,Vêtements,1,10
ThinkPad Laptop,999.99,329.99670000000003,1.000484496124031,Alimentation,2,17
USB-C Charging Cable,11.95,5.975,1.0945989133908598,Vêtements,1,7
Vareebadd Phone,400.0,132.0,1.001452784503632,Alimentation,2,12
Wired Headphones,11.99,5.995,1.0887088232178794,Vêtements,1,3
iPhone,700.0,231.0,1.001023092662964,Vêtements,1,1
